,Expanded L-Measure,Expanded L-Precision,Expanded L-Recall,L-Measure,L-Precision,L-Recall,est_name,ref_name
06_-_Yellow_Submarine,0.8408903667375737,0.9371230046707868,0.7625813172027328,0.7845868618388506,0.8429284206025776,0.7337985059042574,Isophonics,TUT
13_-_Got_To_Get_You_Into_My_Life,0.8920786468400431,0.9045738362925709,0.8799239546784967,0.8901668141792765,0.9047611352195182,0.8760358486457115,Isophonics,TUT
11_-_Doctor_Robert,0.8617071128513376,0.8106088387734613,0.9196809558418971,0.9296933666657424,0.9427854730967812,0.9169598903657427,Isophonics,TUT
"05_-_Here,_There_And_Everywhere",0.9625915130615944,0.9816915356200568,0.9442205351453505,0.9615302454884258,0.9811372565534711,0.9426915323699073,Isophonics,TUT
10_-_For_No_One,0.9359924695291413,0.950617457856735,0.9218106657805675,0.8151970793222792,0.8732298986486383,0.764397037715808,Isophonics,TUT
09_-_And_Your_Bird_Can_Sing,0.9675320734394546,0.9846009277738728,0.9510449393355827,0.9662480368581235,0.9833643347332532,0.9497173928045703,Isophonics,TUT
14_-_Tomorrow_Never_Knows,0.9006662173309059,0.9903223575026174,0.8258959725502588,0.9865488509347542,0.9902952223592804,0.9828307183665058,Isophonics,TUT
01_-_Taxman,0.7417508563663743,0.7517668673148213,0.7319982287996807,0.7373586639053888,0.7455553567100601,0.729340241323604,Isophonics,TUT
04_-_Love_You_To,0.7209456635137443,0.7957780668788579,0.6589775405238252,0.7625646185753849,0.781486466359862,0.7445374049851107,Isophonics,TUT
07_-_She_Said_She_Said,0.9633981376547217,0.9807983987037222,0.9466045075235556,0.9625166145867515,0.979770768314411,0.9458596491826258,Isophonics,TUT
03_-_I'm_Only_Sleeping,0.7284176956145111,0.7217156372744326,0.735245395165658,0.665749151446369,0.6776056769676049,0.6543004138993783,Isophonics,TUT
02_-_Eleanor_Rigby,0.9023356108330965,0.8910168747677008,0.9139456145060538,0.8203978142437709,0.8572207829988959,0.7866080997903077,Isophonics,TUT
02_-_Misery,0.9617339472493617,0.9604589001189321,0.9630123842308187,0.9617730976779976,0.9603886283978592,0.9631615643447363,Isophonics,TUT
07_-_Please_Please_Me,0.9742412426433573,0.9771198976910888,0.97137949916118,0.9723854354169404,0.9783293330852709,0.9665133265942023,Isophonics,TUT
