,thirds,thirds_inv,triads,triads_inv,tetrads,tetrads_inv,root,mirex,majmin,majmin_inv,sevenths,sevenths_inv,underseg,overseg,seg,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TR6R91L11C8A40D710,0.7908087240063987,0.7840645555379777,0.6353573186380497,0.6353573186380497,0.3916484909209166,0.3916484909209166,0.7908087240063987,0.7022734623565188,0.8218497381434651,0.8218497381434651,0.518585310896681,0.518585310896681,0.8569807168345371,0.8326370827400742,0.8326370827400742,0.5850168748342197,0.6249042862764419,0.604303097389196,Reference,Estimate
TRACGVT149E3B9BE3F,0.7857529089631701,0.7857529089631701,0.7857529089631701,0.7857529089631701,0.7405522324732281,0.7405522324732281,0.7857529089631701,0.7857529089631701,0.7857529089631701,0.7857529089631701,0.7405522324732281,0.7405522324732281,0.7294671853226222,0.8872452875408948,0.7294671853226222,0.5771268035915502,0.5427095116096584,0.5593892633455748,Reference,Estimate
TRACPPB149E33C10B9,0.6957045476783377,0.6750985062859282,0.6604704348395847,0.6485787742184459,0.4202739107771454,0.4188069499397046,0.6957045476783377,0.7041882282108776,0.7587881695104888,0.7451263143854436,0.5383506629490252,0.5364715566825996,0.7916433693118446,0.8383946624307763,0.7916433693118446,0.5612858693758307,0.4876781792305655,0.5218994324328096,Reference,Estimate
TRADINA127F847B84E,0.8487152844290541,0.8487152844290541,0.25859000302888874,0.25859000302888874,0.24857266468560932,0.24857266468560932,0.8487152844290541,0.2673079643409707,0.7777100728423851,0.7777100728423851,0.7475829030315386,0.7475829030315386,0.9450937891402041,0.6660441399183017,0.6660441399183017,0.6202954230745086,0.6337041752499927,0.6269281106883692,Reference,Estimate
TRAEQJQ149E3BA694B,0.8060211477896754,0.8025294729337202,0.8032416611530868,0.8005312208782044,0.5537135242118015,0.551003083936919,0.833353401953246,0.8210180544817405,0.8497740903472278,0.846906632108418,0.59601881926919,0.5930470583166072,0.9128399459935642,0.8471347225275633,0.8471347225275633,0.708774886316486,0.691353465812717,0.6999557910397901,Reference,Estimate
TRAGPGW149E3A9DFC7,0.5421429342875249,0.5163378424697779,0.5406456431892537,0.5163378424697779,0.5244531972662412,0.5122291123237208,0.5512043969724876,0.6774872131343985,0.557506091910782,0.5324402337969171,0.5769862804683572,0.5635377414187734,0.8925807063419885,0.5005277837607276,0.5005277837607276,0.38527018758400705,0.44324333001365196,0.4122284966330455,Reference,Estimate
TRAGTML149E3B2F15F,0.7990836374955015,0.795638117557638,0.7990836374955015,0.795638117557638,0.7825869143127332,0.7791413943748697,0.8351049351779375,0.8051651552860426,0.7990836374955015,0.795638117557638,0.7825869143127332,0.7791413943748697,0.9080906948722901,0.830850530099311,0.830850530099311,0.7233193455812067,0.7205719271049824,0.7219430224661268,Reference,Estimate
TRAHKKV149E3BDA124,0.9114131825292432,0.9114131825292432,0.9114131825292432,0.9114131825292432,0.29228529663987046,0.29228529663987046,0.9795955352330233,0.9114131825292432,0.9114131825292432,0.9114131825292432,0.29228529663987046,0.29228529663987046,0.9868213462965456,0.6849039717240504,0.6849039717240504,0.6901071437232641,0.923772084500831,0.7900240656640188,Reference,Estimate
TRAHMSN127F92CD4AD,0.939689201657674,0.9257463445148171,0.939689201657674,0.9257463445148171,0.9148569864727496,0.9148569864727496,0.939689201657674,0.939689201657674,0.939689201657674,0.9257463445148171,0.9299086807746682,0.9299086807746682,0.8655248260223627,0.9303579325983264,0.8655248260223627,0.8710414179639698,0.8053415787877495,0.8369040632025894,Reference,Estimate
TRAHXQW149E3BCE2C1,0.9188656814358718,0.9188656814358718,0.9188656814358718,0.9188656814358718,0.5244954991340403,0.5244954991340403,0.9499338997939868,0.9188656814358718,0.9188656814358718,0.9188656814358718,0.5244954991340403,0.5244954991340403,0.9304314196956053,0.856559001694481,0.856559001694481,0.8576094259277676,0.8846573535607113,0.8709234361372918,Reference,Estimate
TRAIIEF149E3861F6C,0.9454627414335899,0.9358941766005471,0.9454627414335899,0.9358941766005471,0.8734270526696234,0.8638584878365807,0.9454627414335899,0.9483423201480838,0.9454627414335899,0.9358941766005471,0.8734270526696234,0.8638584878365807,0.8107641940847693,0.8478512751048544,0.8107641940847693,0.8383158459619945,0.8160509735171865,0.827033586695769,Reference,Estimate
TRAITGI149E3C71235,0.9468585258098289,0.945842942961844,0.9468585258098289,0.945842942961844,0.8955651637265215,0.8945495808785366,0.9504729522758986,0.9468585258098289,0.9508418705075503,0.9498220151981127,0.8993327220778,0.8983128667683624,0.9474389279114269,0.9301062525343764,0.9301062525343764,0.8923162232396494,0.8727094775815977,0.8824039498787162,Reference,Estimate
TRAKIXJ149E332D53F,0.8947434545642874,0.8760314390899888,0.8947434545642874,0.8760314390899888,0.8229986815965886,0.80428666612229,0.8983406276225374,0.8953484495528055,0.8947434545642874,0.8760314390899888,0.8376314542142629,0.8185867423775319,0.9196598983929215,0.9084909481760468,0.9084909481760468,0.8035976940580144,0.7826237034687397,0.7929720332902201,Reference,Estimate
TRALJVL127F98F7094,0.8845866550100585,0.8763611543680347,0.3616921472739012,0.35716411223123623,0.2857910280578082,0.28126299301514324,0.8931659153621243,0.4758121622625839,0.9113387477120367,0.8993614733122538,0.710569865948536,0.698592591548753,0.9201447149140733,0.8676373976632117,0.8676373976632117,0.794580913450795,0.7642882400822123,0.7791402460788588,Reference,Estimate
TRAMEPQ149E2C6E391,0.5249370841425105,0.5249370841425105,0.5149616152481697,0.5149616152481697,0.4838171073448474,0.4838171073448474,0.6464488913989459,0.559132295130613,0.52046988265362,0.52046988265362,0.4889922387015846,0.4889922387015846,0.7287621359758611,0.6489363958877602,0.6489363958877602,0.5072400277700858,0.5625279202187394,0.5334552758093712,Reference,Estimate
TRAOIOP149E3AD2F51,0.9532670563212713,0.9532670563212713,0.9532670563212713,0.9532670563212713,0.808456215515729,0.808456215515729,0.9532670563212713,0.9532670563212713,0.9532670563212713,0.9532670563212713,0.808456215515729,0.808456215515729,0.9637477456503427,0.7910070275486218,0.7910070275486218,0.8444197126354218,0.8811887939979086,0.8624125174915798,Reference,Estimate
TRAOVGN149E362699A,0.7290775994249701,0.6647964342964494,0.6647973748090513,0.6333661265750798,0.4639316671430658,0.4639316671430658,0.732878554951358,0.8475006493734687,0.788956145792671,0.7500713690499998,0.6846536005303921,0.6846536005303921,0.9279711661652096,0.8176142162952412,0.8176142162952412,0.6729783338612269,0.5660249315377948,0.6148854098904151,Reference,Estimate
TRAPEUF149E3BF4C4C,0.876362767779712,0.8578129821166349,0.8381363031608784,0.8381363031608784,0.7108434162847119,0.7108434162847119,0.8776636731502753,0.8591051779596078,0.8751143864631743,0.8751143864631743,0.7419149678959671,0.7419149678959671,0.8874604103559947,0.8911059901587512,0.8874604103559947,0.780782858073644,0.7688777435236186,0.7747845708651533,Reference,Estimate
TRAPSWJ149E36CDE23,0.7521921161999539,0.7506575648176672,0.7521921161999539,0.7506575648176672,0.7364354914661111,0.7364354914661111,0.7521921161999539,0.7703422019796844,0.7521921161999539,0.7506575648176672,0.7364354914661111,0.7364354914661111,0.842655739800023,0.7986353390165541,0.7986353390165541,0.5995614533618728,0.590050642962885,0.5947680292506997,Reference,Estimate
TRAPYYI149E33239E1,0.8350391684686265,0.8275574232171258,0.8350391684686265,0.8275574232171258,0.7028969084652317,0.7028969084652317,0.8350391684686265,0.8856848286326309,0.8350391684686265,0.8275574232171258,0.7028969084652317,0.7028969084652317,0.8977707090150847,0.8518296450292837,0.8518296450292837,0.6564705666617183,0.66597872027178,0.661190462577559,Reference,Estimate
